date,fc,sfrp,mfrp,aet,cwd,et0,pet_thorn,ppt,pwd,rad,soil,tmax,tmin,vp,vpd,wind
1/1/2012,376,1535.7,4.084308511,61.8103,0.0821,61.8958,29.8117,126.9639,65.0682,103.4504,151.2721,16.7374,3.5322,0.7708,0.5902,3.0417
2/1/2012,877,5836.31,6.654857469,60.2015,0,60.2015,31.6741,117.9891,57.7877,119.357,151.8707,16.9244,5.5068,0.8473,0.5818,2.7258
3/1/2012,2144,15092.62,7.039468284,104.2768,0.4127,104.6896,67.096,137.9805,33.2908,173.2053,151.1662,24.6316,11.7057,1.3869,0.8646,3.0491
4/1/2012,1402,5027.85,3.586198288,99.0263,30.7378,129.7639,74.5294,49.4286,-80.3353,240.5359,99.0955,25.6032,11.8666,1.2743,1.0773,2.5085
5/1/2012,1186,4178.93,3.523549747,125.7255,19.9845,145.7096,118.3327,113.8814,-31.8283,256.0611,81.555,29.7206,16.7108,1.9685,1.0888,1.9371
6/1/2012,949,3096.5,3.262908325,120.4131,40.0414,160.4547,141.9148,123.5,-36.9547,269.3346,72.2283,31.6076,18.878,2.0424,1.3934,2.2082
7/1/2012,800,3292.96,4.1162,152.4746,5.2972,157.7716,186.1444,166.0138,8.2422,249.9519,72.0565,33.6151,21.9249,2.5576,1.384,1.8297
8/1/2012,890,3093.17,3.47547191,130.428,14.5268,144.955,144.8628,159.6362,14.6812,229.6934,74.2154,31.4886,20.2674,2.2085,1.3101,2.1899
9/1/2012,1434,11869.09,8.276910739,105.5705,6.4442,112.0154,100.3652,122.2599,10.2446,198.6092,84.7928,29.3088,16.8963,1.9772,1.0446,2.0121
10/1/2012,2400,29332.24,12.22176667,66.5341,23.0261,89.5605,59.7819,52.9302,-36.6304,169.3999,68.4585,24.2299,10.4259,1.3544,0.8074,2.4914
11/1/2012,2031,21508.46,10.5900837,45.2313,12.1528,57.3836,34.4214,41.1791,-16.2046,132.9768,62.3175,19.1995,3.5454,0.8742,0.6419,1.9887
12/1/2012,758,3802.49,5.016477573,48.8327,0,48.8327,30.3533,164.7648,115.9321,89.046,142.8616,16.902,4.924,0.9401,0.4685,2.7759
1/1/2013,731,3921.24,5.364213406,51.5248,0,51.5338,30.4629,172.6444,121.1105,86.2979,151.1941,15.5177,4.4939,0.8364,0.4824,2.7783
2/1/2013,903,4910.11,5.437552602,56.6665,0,56.7367,27.2134,231.2388,174.5021,126.0567,151.9234,14.9437,2.9235,0.7386,0.502,2.793
3/1/2013,3326,22618.31,6.800453999,81.5536,4.2067,85.7615,38.087,98.7082,12.9468,190.6195,144.6961,16.9694,3.2323,0.8252,0.54,3.1325
4/1/2013,1131,4814.33,4.256702034,109.1043,0,109.1043,67.2175,169.8234,60.7191,207.7169,151.229,23.4789,10.3069,1.3004,0.7858,2.738
5/1/2013,974,2739.68,2.812813142,127.6788,1.0207,128.6996,93.0986,153.1485,24.4489,248.2783,149.7839,26.2866,13.8109,1.8369,0.6767,2.6688
6/1/2013,815,2514.3,3.085030675,140.25,0.1168,140.367,148.0603,181.9774,41.6104,236.1739,151.6923,31.1862,20.1007,2.3424,1.1251,2.041
7/1/2013,687,1925.54,2.802823872,133.3458,0,133.3459,148.0836,214.617,81.2712,226.4998,151.9179,30.5108,20.476,2.5756,0.8319,2.0615
8/1/2013,885,4029.22,4.55279096,123.6186,3.3198,126.9382,142.0621,143.9513,17.0131,210.7083,146.2155,30.974,20.2476,2.4621,0.9886,1.8701
9/1/2013,1490,9521.78,6.390456376,103.2673,13.8457,117.1137,113.5543,86.5743,-30.5394,209.9639,124.1218,30.4377,18.1256,2.1156,1.1221,1.8169
10/1/2013,2052,22787.54,11.10503899,64.865,14.5753,79.4411,67.8554,48.1896,-31.2515,149.8946,105.0445,24.9055,12.1286,1.5286,0.7705,1.9159
11/1/2013,1456,13021.45,8.943303571,55.8117,0.0157,55.8274,33.9834,95.461,39.6337,120.6133,138.116,17.4652,4.3511,0.9177,0.51,2.7077
12/1/2013,675,4330.47,6.415511111,47.1303,0,47.17,27.8295,204.0841,156.9141,83.7638,151.9234,14.9798,3.3358,0.7988,0.4545,2.6643
1/1/2014,1008,6985.7,6.930257937,29.6984,0,33.1969,12.4449,70.1633,36.9663,117.8518,151.9234,10.3561,-3.7272,0.6046,0.2661,3.0445
2/1/2014,807,3782.3,4.686864932,60.6544,0,60.8077,26.0989,163.2064,102.3987,127.4635,151.9234,14.8786,2.0663,0.6598,0.5555,2.9424
3/1/2014,2547,15553.41,6.10656066,90.7381,0,90.7381,42.9073,146.2432,55.5051,184.0573,151.9234,18.6073,4.5467,0.8381,0.6681,2.7672
4/1/2014,1489,7452.26,5.004875756,117.1266,0,117.1266,68.5684,255.925,138.7985,215.6622,151.9234,23.8696,10.6439,1.2658,0.8681,2.9642
5/1/2014,1187,4459.23,3.756722831,123.2946,20.8152,144.1102,103.766,93.5734,-50.5368,263.792,116.1571,27.8868,15.0279,1.795,0.9519,2.299
6/1/2014,750,2469.94,3.293253333,127.1412,13.0345,140.1746,145.8042,117.5603,-22.6143,245.2926,100.6982,31.015,20.0079,2.4243,1.0132,1.884
7/1/2014,1153,4445.07,3.855221162,119.74,45.4504,165.191,149.0232,89.353,-75.8379,287.0317,65.8408,31.3836,19.6837,2.2945,1.168,1.961
8/1/2014,1249,7272.51,5.822666133,104.2006,47.2293,151.4293,155.7025,87.4465,-63.9828,254.5936,44.7196,32.9299,20.2481,2.5336,1.1806,1.891
9/1/2014,1339,9398.08,7.018730396,74.4113,41.0007,115.4121,116.1064,69.1379,-46.2742,198.0301,35.9862,30.4544,18.7984,2.0748,1.2071,1.8445
10/1/2014,2748,35656.88,12.97557496,77.5221,15.7141,93.2359,68.944,91.8636,-1.3723,171.5797,45.7238,25.8377,11.3345,1.4219,0.9292,2.2569
11/1/2014,1940,21475,11.06958763,53.6753,1.2705,54.9458,30.4383,78.8893,23.9435,128.1229,65.0355,16.6813,2.3047,0.8314,0.4892,2.6577
12/1/2014,1420,15751.69,11.09273944,45.6503,0,45.6511,29.4187,173.1292,127.478,94.2631,149.4318,15.628,4.2599,0.8282,0.4875,2.1819
1/1/2015,1328,9318.83,7.017191265,46.8232,0,47.1905,20.2601,118.4577,71.2671,111.4813,151.9234,12.8377,0.3717,0.6737,0.3927,2.7242
2/1/2015,1548,10925.24,7.057648579,46.3645,0,48.3295,15.7804,115.1123,66.7828,136.3766,151.9234,11.5389,-1.223,0.5908,0.3825,3.0582
3/1/2015,1354,7379.2,5.449926145,91.9129,1.7297,93.6428,50.9061,108.0935,14.4507,159.5515,148.951,20.7658,8.2919,0.9741,0.8167,2.6586
4/1/2015,717,3046.27,4.248633194,114.1741,0,114.1741,75.4824,218.4114,104.2373,195.7939,151.9234,24.9371,13.1029,1.3509,0.9977,2.5046
5/1/2015,1130,4072.52,3.604,124.6551,20.7634,145.4195,111.1533,94.1477,-51.2719,260.7029,116.2461,28.868,16.039,1.9265,0.9898,2.1964
6/1/2015,1008,3237.18,3.211488095,127.5451,28.035,155.5803,155.2029,101.9392,-53.641,273.3386,85.5434,31.9465,20.399,2.4565,1.1325,1.9107
7/1/2015,1057,5494.93,5.198609272,156.0547,17.0619,173.1163,186.7969,151.1736,-21.9426,285.3213,73.1003,33.5474,22.0145,2.6754,1.2649,2.0458
8/1/2015,1302,9867.98,7.579093702,141.9041,13.1149,155.0187,153.803,140.9283,-14.0904,255.5935,65.0774,32.4685,20.3744,2.3404,1.3201,2.0201
9/1/2015,1239,9157.99,7.391436642,88.782,26.3086,115.0908,109.7102,82.9851,-32.1057,204.1362,54.978,30.0906,17.9995,2.1198,1.0649,1.958
10/1/2015,2078,26924.6,12.95697786,88.642,1.5096,90.152,66.2182,111.9133,21.7613,144.904,69.8734,24.9814,12.2412,1.4048,0.9065,2.5906
11/1/2015,986,7625.24,7.733509128,62.2075,0,62.2075,44.9811,154.947,92.7394,108.732,137.4291,21.0633,9.7462,1.157,0.7089,2.4165
12/1/2015,1262,12958.76,10.26843106,55.271,0,55.271,39.3863,288.2874,233.0164,87.8784,151.9234,19.3785,8.5269,1.1102,0.5846,2.7621
1/1/2016,776,3389.55,4.367976804,47.1308,0,47.1308,17.8995,102.1252,54.9945,107.7069,151.9234,12.214,0.4393,0.6847,0.42,2.8145
2/1/2016,2516,16180.66,6.431104928,62.9848,0,62.9848,28.2491,162.4615,99.4767,141.2986,151.9234,16.2997,3.5196,0.7639,0.5637,3.187
3/1/2016,2032,12377.96,6.091515748,100.9277,0.0002,100.9278,53.7637,182.2099,81.2821,178.6984,151.9232,21.9749,9.1598,1.0369,0.801,3.1222
4/1/2016,1370,6469.07,4.721948905,117.5796,2.739,120.3186,68.6543,129.2331,8.9145,225.0688,147.217,24.5233,11.3605,1.2443,0.9813,2.6593
5/1/2016,1008,4225.87,4.192331349,108.5969,35.8685,144.4655,101.5929,53.1756,-91.2899,269.6908,89.0854,27.9688,15.0863,1.748,1.1218,2.3125
6/1/2016,990,3308.8,3.342222222,125.3392,29.8671,155.2063,164.6595,113.7593,-41.4471,272.3611,71.7732,33.0198,20.4474,2.2563,1.4309,1.7571
7/1/2016,899,2943.8,3.274527253,141.3953,31.4962,172.8915,195.4549,132.022,-40.8695,281.7347,55.7518,34.102,22.2354,2.6235,1.4026,1.9678
8/1/2016,1131,8411.38,7.437117595,115.112,33.5613,148.6733,179.2249,115.1903,-33.483,229.3397,48.151,33.4136,22.3437,2.6043,1.2895,2.0901
9/1/2016,1610,16557.47,10.28414286,66.6386,66.6822,133.3208,134.2092,57.1082,-76.2126,217.0621,35.7194,32.8249,19.5718,2.1147,1.5389,1.898
10/1/2016,1632,15258.63,9.349650735,14.7875,98.5215,113.309,79.7631,6.2339,-107.0751,180.5116,26.7998,28.9051,12.7867,1.4442,1.354,2.2051
11/1/2016,832,2743.17,3.297079327,59.7361,14.068,73.8042,44.618,63.544,-10.2601,132.4823,27.3832,22.8118,6.6541,1.0406,0.9556,2.2038
12/1/2016,900,5375.45,5.972722222,59.5269,0,59.5269,27.7804,157.3444,97.8175,90.4701,113.5349,16.0403,4.6274,0.7519,0.5291,2.698
1/1/2017,1440,12322.48,8.557277778,64.8042,0,64.8042,33.5577,204.6113,139.8072,101.0657,151.9234,17.4198,5.9589,0.7728,0.5014,2.9745
2/1/2017,2192,14038.26,6.404315693,71.6799,2.1415,73.8214,38.4193,74.1674,0.3461,136.9312,148.2435,19.9123,6.4926,0.8281,0.6948,2.7513
3/1/2017,2340,13659.21,5.837269231,100.7443,4.7125,105.4568,51.5492,106.3063,0.8495,196.33,141.117,21.2238,7.9332,0.9887,0.8175,3.1843
4/1/2017,1618,8335.83,5.151934487,127.7052,0.8783,128.5834,80.9898,187.3035,58.72,228.9514,145.5672,26.6465,12.7942,1.3476,1.0615,2.8069
5/1/2017,967,3286.55,3.398707342,140.0892,2.0194,142.1087,102.0131,152.6385,10.5298,252.5329,144.1133,27.8166,15.1475,1.7706,0.9719,2.667
6/1/2017,561,1417.52,2.526773619,123.3243,0.0366,123.3609,119.9435,201.7547,78.3938,214.9782,151.8038,28.7163,18.2511,2.1,0.9405,2.2194
7/1/2017,989,3312.48,3.349322548,151.6967,7.5796,159.2763,177.2415,146.2592,-13.0171,274.1108,138.8048,32.7842,21.7594,2.5916,1.1563,1.8236
8/1/2017,824,2784.08,3.378737864,136.6092,0.0012,136.6105,151.5319,211.9809,75.3705,219.1112,151.8062,31.5226,21.0248,2.4409,1.1192,1.9588
9/1/2017,1626,13314,8.188191882,103.733,19.4401,123.1731,105.5841,74.1157,-49.0574,211.2426,118.4272,29.8382,17.3193,2.051,1.076,2.3304
10/1/2017,2201,24580.52,11.16788732,100.7558,0.2128,100.9686,69.0556,132.7431,31.7744,159.6646,139.5516,25.608,12.6571,1.4487,0.8507,2.7506
11/1/2017,1837,19632.87,10.68746326,51.4809,12.8972,64.3782,40.7366,34.931,-29.4472,125.9618,120.9364,20.5329,6.8554,1.0211,0.5812,2.0473
12/1/2017,630,3197.42,5.075269841,49.8253,0,49.8253,23.4085,124.8472,75.0218,87.3185,151.4077,13.8498,2.9703,0.7354,0.4134,2.5484
1/1/2018,1130,6848.37,6.060504425,40.6122,0,40.6122,16.1507,74.5488,33.9366,116.5669,151.8988,11.413,-1.3087,0.701,0.4477,2.8232
2/1/2018,652,3327.92,5.104171779,68.2071,0,68.2071,41.4448,223.4114,155.2043,112.9942,151.9234,20.1184,8.9674,0.8502,0.5577,2.777
3/1/2018,2877,17129.63,5.953990268,95.4688,1.6601,97.1289,46.1614,110.4934,13.3645,184.1308,149.0705,19.7379,6.5244,0.9379,0.7242,2.9749
4/1/2018,1947,10230.03,5.254252696,111.2056,0.0681,111.2737,59.6064,169.89,58.6163,229.6547,150.6041,22.6793,8.3779,1.1852,0.819,2.8666
5/1/2018,1134,4153.03,3.662283951,123.268,7.1976,130.4656,126.1916,121.9055,-8.56,235.1424,138.8455,30.3498,17.4742,1.9173,0.8303,1.7032
6/1/2018,1000,3025.18,3.02518,133.5034,9.2235,142.7269,159.6873,127.2801,-15.4468,251.0598,125.9052,32.3402,20.5243,2.3241,0.9728,1.4246
7/1/2018,948,3128.54,3.300147679,146.8809,6.0767,152.9576,174.5357,153.0445,0.0869,261.0255,122.1388,32.6767,21.5909,2.5502,1.1971,1.3726
8/1/2018,1131,5643.43,4.989770115,121.9861,11.1577,133.1438,155.3185,118.9444,-14.1993,220.4946,110.3088,32.1734,20.9195,2.5645,0.9879,1.5851
9/1/2018,1114,8544.05,7.66970377,112.3464,0.5901,112.9365,137.2991,151.3553,38.4188,188.536,128.7188,31.9165,20.8376,2.2513,0.8577,1.5023
10/1/2018,2188,20736.05,9.477170932,83.3209,13.7665,97.0874,73.6764,68.3733,-28.7141,145.0682,110.1609,26.0326,13.878,1.4606,0.863,2.2085
11/1/2018,615,2646.2,4.302764228,51.5105,0,51.5105,30.2264,152.1351,100.6246,96.9226,151.786,16.4132,4.743,0.9937,0.4103,2.3711
12/1/2018,504,2300.1,4.563690476,51.2944,0,51.2944,27.8685,267.3981,216.1037,76.2694,151.9234,15.541,4.2458,0.7906,0.3421,2.7053
1/1/2019,809,4507.4,5.571569839,50.1231,0,50.1231,23.3516,175.8921,125.769,101.1424,151.9234,14.4225,2.4107,0.7765,0.4201,2.6663
2/1/2019,350,1351.12,3.860342857,54.9921,0.381,55.3731,39.2298,152.8201,97.4469,92.4935,151.2684,20.5695,7.3557,1.1483,0.5956,3.0385
3/1/2019,2811,18269.02,6.499117752,94.6201,0.8025,95.4226,44.6712,114.1628,18.7402,176.9195,149.9914,20.0922,6.2633,0.8966,0.7693,2.6581
4/1/2019,1259,5830.85,4.631334392,115.9178,0.0305,115.9483,67.7389,160.268,44.3196,223.093,151.7828,24.8955,10.455,1.3586,0.8604,3.0052
5/1/2019,1209,4405.02,3.643523573,129.2813,22.2319,151.5132,125.3101,96.4759,-55.0372,264.6341,114.1089,30.596,17.2006,2.0608,1.1356,2.7092
6/1/2019,739,2163.94,2.928200271,138.0766,5.3813,143.4579,152.4014,145.8419,2.384,242.3869,112.8181,32.216,19.5778,2.369,1.2026,2.0462
7/1/2019,1033,3788.52,3.66749274,121.6862,32.3323,154.0185,182.826,93.3056,-60.7129,255.2338,79.704,33.6016,21.4366,2.5542,1.3488,1.5649
8/1/2019,1245,7849.29,6.304650602,122.5957,26.5897,149.1854,173.7698,111.4952,-37.6902,244.7968,62.9841,33.7713,21.3549,2.5661,1.3555,1.6255
9/1/2019,1854,22744.32,12.26770227,30.7636,109.3852,140.1488,155.3778,8.5349,-131.6139,233.9613,40.2754,33.9357,21.1843,2.2262,1.707,1.7777
10/1/2019,769,3369.95,4.382249675,90.2426,0,90.2426,77.4591,189.8592,99.6166,132.3382,125.0219,27.734,13.4616,1.7152,0.9401,2.0042
11/1/2019,1750,13336.6,7.620914286,60.9548,3.3254,64.2801,30.1698,79.7991,15.5189,124.5996,132.9105,17.4812,3.9127,0.8634,0.5528,2.4478
12/1/2019,1048,9088.13,8.671879771,48.1239,0,48.1239,30.1324,183.0821,134.9582,85.999,151.8485,17.2441,4.9456,0.9281,0.5014,2.4687
1/1/2020,818,4239.33,5.182555012,59.3718,0,59.3718,29.2979,156.2276,96.8559,94.8451,151.9234,16.3257,4.0964,0.7342,0.6149,2.8539
2/1/2020,861,5065.76,5.883577236,63.1625,0,63.1625,30.9898,264.1682,201.0057,112.3405,151.9234,17.0343,4.1525,0.7899,0.6064,3.0718
3/1/2020,939,4540.96,4.835953142,104.2259,1.6261,105.852,64.6898,180.0373,74.1853,152.6597,149.1296,24.3607,10.5541,1.0253,1.1572,2.912
4/1/2020,1146,4411.58,3.849546248,117.822,3.7717,121.5937,66.7673,175.5638,53.9701,233.3646,144.5007,24.2205,10.0277,1.2705,0.8787,2.8541
5/1/2020,1089,4978.85,4.57194674,118.2115,20.9644,139.1758,97.6478,90.4112,-48.7646,263.4229,112.1413,27.4698,14.2475,1.7648,0.9008,2.5285
6/1/2020,826,2790.08,3.377820823,122.3589,15.7433,138.1022,141.0973,117.0909,-21.0114,236.0227,100.4064,31.2946,18.9504,2.2832,1.118,2.3944
7/1/2020,868,4158.87,4.791324885,129.3761,27.2381,156.6143,175.2129,116.9662,-39.648,260.9367,79.1857,33.1382,21.2528,2.5789,1.2386,1.859
8/1/2020,1128,9828.77,8.713448582,131.987,15.0672,147.0543,161.3561,141.7564,-5.2979,236.1707,74.8802,32.9797,20.8166,2.4955,1.2681,1.9654
9/1/2020,952,7602.72,7.98605042,114.0031,8.9449,122.948,106.9998,157.3284,34.3804,190.6816,88.7025,30.1514,17.4373,2.0364,1.1189,2.7344
10/1/2020,2228,24120.63,10.82613555,96.2763,6.5181,102.7944,72.5309,107.8235,5.0291,160.1561,93.0463,26.6218,12.8523,1.409,1.0961,2.4142
11/1/2020,2503,29112.54,11.63105873,68.138,4.2483,72.3863,44.4185,75.6829,3.2966,120.8059,95.7959,21.7644,8.1337,1.0462,0.8155,2.433
12/1/2020,1135,6102.11,5.37630837,48.8993,0,48.8993,22.4382,118.0358,69.1365,104.2889,136.5217,13.974,1.8466,0.7643,0.3922,2.5492
1/1/2021,1007,5847.85,5.807199603,52.0185,0,52.0185,24.6762,107.0458,55.0273,103.2394,149.5236,14.3759,2.1466,0.7816,0.4047,2.7483
2/1/2021,1658,10417.05,6.282901086,52.9274,0,52.9274,23.9056,139.839,86.9116,129.9837,151.9229,14.5556,1.673,0.77,0.4167,2.936
3/1/2021,2622,16915.67,6.451437834,93.2403,0.0491,93.2895,55.6604,239.1128,145.8233,180.7339,151.8389,22.3405,8.5339,1.1538,0.7634,3.0139
4/1/2021,1780,8530.44,4.792382022,112.4985,3.9998,116.4981,64.421,132.0389,15.5408,227.7187,145.051,23.725,9.5324,1.1743,0.8987,2.5051
5/1/2021,1095,2833.09,2.587296804,127.2676,14.7491,142.0168,98.5414,117.6579,-24.3589,255.5848,122.7525,27.57,14.3477,1.6413,1.0345,2.6573
6/1/2021,705,1789.42,2.538184397,137.3398,1.8343,139.1741,140.0967,186.0932,46.9191,247.8868,134.497,31.2609,18.9166,2.3901,1.0007,2.3055
7/1/2021,669,1910,2.855007474,145.9181,1.6814,147.5994,159.3732,184.5066,36.9071,255.3972,139.023,32.1979,20.3118,2.6782,0.9364,1.8242
8/1/2021,871,3559.66,4.086865672,139.4118,1.6367,141.0488,157.0546,190.2377,49.189,232.9986,143.6658,32.7145,20.5518,2.6383,1.0673,2.0306
9/1/2021,1152,8885.9,7.713454861,110.6836,1.0455,111.7291,103.7131,153.1605,41.4314,201.4486,146.0579,29.7428,17.0286,2.1956,0.8829,1.8093
10/1/2021,1625,16786.53,10.33017231,86.5945,2.6072,89.2012,73.3491,100.1398,10.9386,155.4021,142.8986,26.6599,12.8898,1.691,0.8152,2.1425
11/1/2021,2407,25119.87,10.43617366,47.8554,14.0634,61.919,33.2232,28.0917,-33.8273,118.4464,121.6885,17.9731,4.3425,0.873,0.5851,2.1599
12/1/2021,835,5678.46,6.800550898,46.8147,0.0021,46.8168,40.3263,127.2926,80.4758,94.4216,147.3135,20.0072,7.8799,1.2456,0.4687,2.6833
1/1/2022,1233,8079.8,6.55296026,52.1754,0,52.1754,19.8989,121.6711,69.4957,117.2956,150.774,12.6069,0.5603,0.6572,0.4023,3.0597
2/1/2022,2605,17686.63,6.789493282,60.0689,0.6829,60.752,28.7975,148.77,88.018,135.6523,149.8405,16.4176,3.5676,0.7744,0.5675,2.9908
3/1/2022,3111,19167.35,6.16115397,102.2587,0.0066,102.2653,51.1884,153.4213,51.156,199.5007,151.7691,21.1935,7.6518,0.9668,0.8294,2.9891
4/1/2022,1472,6144.6,4.174320652,120.8188,3.3202,124.1389,68.6602,139.0908,14.9519,235.8223,146.0848,24.4241,10.6122,1.2205,0.9654,2.9513
5/1/2022,1101,3602.95,3.272434151,136.1527,7.8318,143.9848,118.9817,145.8271,1.8423,255.6586,136.0557,29.7166,16.7262,1.9928,1.0662,2.5462
6/1/2022,1084,3800.23,3.505747232,118.98,36.0612,155.0415,170.8668,74.5349,-80.5066,268.2071,87.5977,33.0727,21.0771,2.4045,1.3951,1.8128
7/1/2022,732,2373.8,3.242896175,145.2773,12.3226,157.6004,186.5844,162.5903,4.9898,255.7799,88.9461,33.6132,21.9934,2.7156,1.232,1.8719
8/1/2022,578,3042.27,5.263442907,122.4608,6.6819,129.1427,150.9062,194.5993,65.4565,210.6692,112.0124,32.2391,20.3222,2.6087,1.0139,1.6416
9/1/2022,1970,21882.28,11.10775635,96.4244,31.5225,127.9453,106.7007,69.1684,-58.777,220.4332,81.2524,29.9195,17.504,1.9029,1.2294,2.1118
10/1/2022,2099,19933.58,9.496703192,62.6942,41.2006,103.8944,58.7158,40.9645,-62.9298,184.7396,57.4172,23.7631,10.1167,1.1333,0.9709,2.4112
11/1/2022,1792,17930.76,10.00600446,61.62,0.2124,61.8324,40.3422,116.5378,54.7053,119.9124,106.133,20.3326,6.7659,1.0961,0.6051,2.4344
12/1/2022,889,5350.18,6.018200225,50.2831,0,50.2831,28.2882,141.9173,91.6342,88.0376,149.5879,15.9034,3.9819,0.8513,0.4711,2.5545
1/1/2023,819,3873.31,4.729316239,50.8842,0,50.8842,31.6286,169.959,119.0748,96.5363,151.9234,17.261,5.2144,0.9781,0.4627,2.8931
2/1/2023,1229,7905.02,6.432074858,64.3276,0.0091,64.3369,38.4267,142.5308,78.1939,124.244,151.9079,20.0898,7.2398,1.0825,0.6186,3.1368
3/1/2023,3241,18768.22,5.790873187,101.237,0.2263,101.4633,53.1372,152.6982,51.2349,183.927,151.5348,21.9636,8.4218,1.0812,0.808,3.0527
4/1/2023,1092,5036.21,4.611913919,117.0254,2.1456,119.1713,69.1946,160.9471,41.7758,218.7216,148.01,24.7704,10.9586,1.2735,0.961,2.8317
5/1/2023,888,2759.6,3.107657658,115.5817,20.4204,136.0016,101.9493,86.7852,-49.2165,248.3158,114.8349,28.0184,15.0279,1.7715,0.9941,2.2719
6/1/2023,991,3357.82,3.388314834,135.6672,10.599,146.2659,142.0682,161.1122,14.8462,258.6687,116.2277,31.2195,19.224,2.2113,1.2004,2.0423
7/1/2023,770,3809.48,4.947376623,139.8139,19.7002,159.5155,185.2271,126.2818,-33.2337,268.8031,95.8893,33.4404,21.8206,2.6809,1.2293,1.7665
8/1/2023,1313,9107.38,6.936313785,116.153,47.154,163.3073,194.174,88.8843,-74.423,259.5861,63.9785,34.3105,22.3936,2.6001,1.497,2.0379
9/1/2023,1583,18253.49,11.53094757,73.5044,54.7866,128.2906,118.1965,55.3816,-72.909,214.4643,43.0412,31.0042,18.5888,2.0276,1.3156,1.9228
10/1/2023,1442,15943.33,11.05640083,44.4081,58.8222,103.2309,67.5444,35.6898,-67.5411,159.6992,32.4905,25.8241,12.1777,1.3423,1.0455,2.4846
11/1/2023,1137,10130.37,8.909736148,60.6453,2.3427,62.9882,37.4966,82.6814,19.6932,115.5603,49.8327,19.829,6.2623,1.0055,0.6377,2.2202
12/1/2023,1365,8577.37,6.283787546,55.0456,0,55.0456,27,132.9716,77.9259,105.6223,109.7397,15.8206,3.8992,0.783,0.5298,2.6477
1/1/2024,862,5696.69,6.608689095,48.9611,0,48.9611,19.1804,176.1122,127.1512,103.2826,151.8994,12.5762,0.5296,0.6915,0.3681,3.2076
2/1/2024,2953,19602.99,6.638330511,63.8335,0.0681,63.9018,32.736,119.8298,55.928,139.4071,151.8062,17.6918,4.8419,0.8252,0.6282,2.9929
3/1/2024,1964,11081.68,5.642403259,89.6551,0,89.6551,50.5278,178.9342,89.2792,173.3176,151.9234,21.2238,7.682,1.0973,0.7013,2.8078
4/1/2024,1659,9634.09,5.807166968,114.8482,1.0515,115.8998,69.9367,143.9106,28.0108,219.7377,150.1168,24.8265,11.0146,1.3702,0.8684,2.9688
5/1/2024,740,2250.72,3.041513514,131.3257,1.2175,132.5434,116.5238,162.5775,30.0342,243.3839,149.5763,29.5018,16.5114,2.1373,0.8838,2.31
6/1/2024,885,3797.04,4.290440678,125.2237,27.5982,152.8218,156.063,83.614,-69.2078,262.5489,103.7315,32.1568,20.1612,2.3174,1.286,2.1298
7/1/2024,405,1381.31,3.410641975,142.9627,4.9242,147.8863,178.0365,166.4216,18.5354,245.5209,114.8494,33.0867,21.4669,2.736,1.0957,1.762
8/1/2024,1903,17987.5,9.452180767,85.4338,84.5762,170.0098,174.6092,29.4582,-140.5516,271.3097,57.3559,33.5009,21.584,2.3347,1.5702,2.1993
9/1/2024,1150,11984.09,10.42094783,112.7272,1.877,114.6041,111.3646,216.3645,101.7605,174.6426,116.3443,30.436,18.0206,2.1505,1.0801,2.4793
10/1/2024,2663,28178.56,10.58150958,53.1749,49.6677,102.8423,69.1644,8.0795,-94.7628,185.5203,70.7875,26.0305,12.3841,1.3782,1.043,2.087
11/1/2024,1279,9524.99,7.447216575,61.0402,0.1143,61.1544,48.7997,112.1255,50.9711,107.6942,115.2614,22.966,9.3993,1.4189,0.5915,2.591
12/1/2024,1603,14603.5,9.110106051,55.2774,0.0059,55.2834,26.2003,133.4886,78.2053,105.8301,146.313,15.386,3.4646,0.7988,0.4787,2.7234
